"SG_UF","SG_UE","str_to_title(NM_UE)","final_name"
"RS","86258","Dois Irmãos","Dois Irmãos (RS)"
"RS","86274","Dom Feliciano","Dom Feliciano (RS)"
"RS","86282","Alto Feliz","Alto Feliz (RS)"
"RS","86290","Dom Pedrito","Dom Pedrito (RS)"
"RS","86304","Ametista Do Sul","Ametista Do Sul (RS)"
"RS","86339","Encantado","Encantado (RS)"
"RS","86355","Encruzilhada Do Sul","Encruzilhada Do Sul (RS)"
"RS","86371","Erechim","Erechim (RS)"
"RS","86495","Estância Velha","Estância Velha (RS)"
"RS","86517","Esteio","Esteio (RS)"
"RS","86533","Estrela","Estrela (RS)"
"RS","86550","Farroupilha","Farroupilha (RS)"
"RS","86592","Feliz","Feliz (RS)"
"RS","86690","Garibaldi","Garibaldi (RS)"
"RS","86819","Gramado","Gramado (RS)"
"RS","86835","Gravataí","Gravataí (RS)"
"RS","86851","Guaíba","Guaíba (RS)"
"RS","86878","Guaporé","Guaporé (RS)"
"RS","86932","Charqueadas","Charqueadas (RS)"
"RS","86967","Maquiné","Maquiné (RS)"
"RS","86983","Maratá","Maratá (RS)"
"RS","87033","Igrejinha","Igrejinha (RS)"
"RS","87114","Iraí","Iraí (RS)"
"RS","87211","Jaguarão","Jaguarão (RS)"
"RS","87238","Jaguari","Jaguari (RS)"
"RS","87246","Nova Santa Rita","Nova Santa Rita (RS)"
"RS","87297","Lajeado","Lajeado (RS)"
"RS","87343","Passo Do Sobrado","Passo Do Sobrado (RS)"
"RS","87378","Marau","Marau (RS)"
"RS","87408","Pinheirinho Do Vale","Pinheirinho Do Vale (RS)"
"RS","87513","Mostardas","Mostardas (RS)"
"RS","87530","Muçum","Muçum (RS)"
"RS","87556","Não-Me-Toque","Não-Me-Toque (RS)"
"RS","87670","Nova Petrópolis","Nova Petrópolis (RS)"
"RS","87718","Novo Hamburgo","Novo Hamburgo (RS)"
"RS","87734","Osório","Osório (RS)"
"RS","87777","Palmeira Das Missões","Palmeira Das Missões (RS)"
"RS","87807","São Pedro Da Serra","São Pedro Da Serra (RS)"
"RS","87815","Panambi","Panambi (RS)"
"RS","87858","Passo Fundo","Passo Fundo (RS)"
"RS","87912","Pelotas","Pelotas (RS)"
"RS","87947","Sinimbu","Sinimbu (RS)"
"RS","87971","Planalto","Planalto (RS)"
"RS","88013","Porto Alegre","Porto Alegre (RS)"
"RS","88099","Quaraí","Quaraí (RS)"
"RS","88153","Rio Grande","Rio Grande (RS)"
"RS","88170","Rio Pardo","Rio Pardo (RS)"
"RS","88250","Ronda Alta","Ronda Alta (RS)"
"RS","88331","Salvador Do Sul","Salvador Do Sul (RS)"
"RS","88374","Santa Bárbara Do Sul","Santa Bárbara Do Sul (RS)"
"RS","88390","Santa Cruz Do Sul","Santa Cruz Do Sul (RS)"
"RS","88412","Santa Maria","Santa Maria (RS)"
"RS","88471","Santa Rosa","Santa Rosa (RS)"
"RS","88501","Turuçu","Turuçu (RS)"
"RS","88510","Santiago","Santiago (RS)"
"RS","88536","Santo Ângelo","Santo Ângelo (RS)"
"RS","88633","São Borja","São Borja (RS)"
"RS","88650","São Francisco De Assis","São Francisco De Assis (RS)"
"RS","88668","Vale Verde","Vale Verde (RS)"
"RS","88676","São Francisco De Paula","São Francisco De Paula (RS)"
"RS","88692","São Gabriel","São Gabriel (RS)"
"RS","88730","São José Do Norte","São José Do Norte (RS)"
"RS","88773","São Leopoldo","São Leopoldo (RS)"
"RS","88790","São Lourenço Do Sul","São Lourenço Do Sul (RS)"
"RS","88838","São Marcos","São Marcos (RS)"
"RS","88935","São Sebastião Do Caí","São Sebastião Do Caí (RS)"
"RS","88994","Sapiranga","Sapiranga (RS)"
"RS","89010","Sapucaia Do Sul","Sapucaia Do Sul (RS)"
"RS","89036","Sarandi","Sarandi (RS)"
"RS","89214","Tapejara","Tapejara (RS)"
"RS","89273","Taquara","Taquara (RS)"
"RS","89290","Taquari","Taquari (RS)"
"RS","89311","Tenente Portela","Tenente Portela (RS)"
"RS","89338","Torres","Torres (RS)"
"RS","89370","Três Coroas","Três Coroas (RS)"
"RS","89419","Três Passos","Três Passos (RS)"
"RS","89460","São José Do Sul","São José Do Sul (RS)"
"RS","89486","São Pedro Das Missões","São Pedro Das Missões (RS)"
"RS","89516","Uruguaiana","Uruguaiana (RS)"
"RS","89559","Venâncio Aires","Venâncio Aires (RS)"
"RS","89575","Vera Cruz","Vera Cruz (RS)"
"RS","89656","Vicente Dutra","Vicente Dutra (RS)"
"RS","98213","Teutônia","Teutônia (RS)"
"RS","98230","Bom Princípio","Bom Princípio (RS)"
"RS","98256","Parobé","Parobé (RS)"
"SC","80012","Abelardo Luz","Abelardo Luz (SC)"
"SC","80020","Iporã Do Oeste","Iporã Do Oeste (SC)"
"SC","80055","Agronômica","Agronômica (SC)"
"SC","80063","Apiúna","Apiúna (SC)"
"SC","80187","Iraceminha","Iraceminha (SC)"
"SC","80209","Timbó Grande","Timbó Grande (SC)"
"SC","80250","Araquari","Araquari (SC)"
"SC","80276","Araranguá","Araranguá (SC)"
"SC","80306","Cocal Do Sul","Cocal Do Sul (SC)"
"SC","80330","Ascurra","Ascurra (SC)"
"SC","80349","Santa Terezinha","Santa Terezinha (SC)"
"SC","80365","Mirim Doce","Mirim Doce (SC)"
"SC","80390","Balneário Camboriú","Balneário Camboriú (SC)"
"SC","80403","Passo De Torres","Passo De Torres (SC)"
"SC","80454","Biguaçu","Biguaçu (SC)"
"SC","80462","Vargem","Vargem (SC)"
"SC","80470","Blumenau","Blumenau (SC)"
"SC","80543","Planalto Alegre","Planalto Alegre (SC)"
"SC","80551","Brusque","Brusque (SC)"
"SC","80616","Camboriú","Camboriú (SC)"
"SC","80624","Passos Maia","Passos Maia (SC)"
"SC","80640","São João Do Oeste","São João Do Oeste (SC)"
"SC","80675","Campo Erê","Campo Erê (SC)"
"SC","80683","Balneário Barra Do Sul","Balneário Barra Do Sul (SC)"
"SC","80691","Campos Novos","Campos Novos (SC)"
"SC","80705","Paraíso","Paraíso (SC)"
"SC","80721","Santa Helena","Santa Helena (SC)"
"SC","80799","Caxambu Do Sul","Caxambu Do Sul (SC)"
"SC","80810","Chapecó","Chapecó (SC)"
"SC","80829","Ipuaçu","Ipuaçu (SC)"
"SC","80837","Concórdia","Concórdia (SC)"
"SC","80845","Ouro Verde","Ouro Verde (SC)"
"SC","80853","Coronel Freitas","Coronel Freitas (SC)"
"SC","80896","Criciúma","Criciúma (SC)"
"SC","80918","Cunha Porã","Cunha Porã (SC)"
"SC","80934","Curitibanos","Curitibanos (SC)"
"SC","80942","São Cristóvão Do Sul","São Cristóvão Do Sul (SC)"
"SC","80969","Vargem Bonita","Vargem Bonita (SC)"
"SC","81019","Erval Velho","Erval Velho (SC)"
"SC","81027","Capivari De Baixo","Capivari De Baixo (SC)"
"SC","81043","Cordilheira Alta","Cordilheira Alta (SC)"
"SC","81051","Florianópolis","Florianópolis (SC)"
"SC","81060","Forquilhinha","Forquilhinha (SC)"
"SC","81116","Governador Celso Ramos","Governador Celso Ramos (SC)"
"SC","81175","Gaspar","Gaspar (SC)"
"SC","81191","Grão-Pará","Grão-Pará (SC)"
"SC","81213","Gravatal","Gravatal (SC)"
"SC","81230","Guabiruba","Guabiruba (SC)"
"SC","81256","Guaraciaba","Guaraciaba (SC)"
"SC","81272","Guaramirim","Guaramirim (SC)"
"SC","81299","Guarujá Do Sul","Guarujá Do Sul (SC)"
"SC","81353","Ibirama","Ibirama (SC)"
"SC","81370","Içara","Içara (SC)"
"SC","81396","Ilhota","Ilhota (SC)"
"SC","81400","Ibiam","Ibiam (SC)"
"SC","81418","Imaruí","Imaruí (SC)"
"SC","81434","Imbituba","Imbituba (SC)"
"SC","81442","Paial","Paial (SC)"
"SC","81477","Indaial","Indaial (SC)"
"SC","81493","Ipira","Ipira (SC)"
"SC","81531","Irani","Irani (SC)"
"SC","81574","Itá","Itá (SC)"
"SC","81590","Itaiópolis","Itaiópolis (SC)"
"SC","81604","Flor Do Sertão","Flor Do Sertão (SC)"
"SC","81612","Itajaí","Itajaí (SC)"
"SC","81620","Cunhataí","Cunhataí (SC)"
"SC","81639","Itapema","Itapema (SC)"
"SC","81663","Itapoá","Itapoá (SC)"
"SC","81698","Jaborá","Jaborá (SC)"
"SC","81710","Jacinto Machado","Jacinto Machado (SC)"
"SC","81728","Balneário Arroio Do Silva","Balneário Arroio Do Silva (SC)"
"SC","81744","Balneário Gaivota","Balneário Gaivota (SC)"
"SC","81752","Jaraguá Do Sul","Jaraguá Do Sul (SC)"
"SC","81779","Joaçaba","Joaçaba (SC)"
"SC","81787","Brunópolis","Brunópolis (SC)"
"SC","81795","Joinville","Joinville (SC)"
"SC","81833","Lages","Lages (SC)"
"SC","81957","Lontras","Lontras (SC)"
"SC","82058","Maravilha","Maravilha (SC)"
"SC","82074","Massaranduba","Massaranduba (SC)"
"SC","82112","Meleiro","Meleiro (SC)"
"SC","82155","Mondaí","Mondaí (SC)"
"SC","82198","Morro Da Fumaça","Morro Da Fumaça (SC)"
"SC","82210","Navegantes","Navegantes (SC)"
"SC","82236","Nova Erechim","Nova Erechim (SC)"
"SC","82279","Nova Veneza","Nova Veneza (SC)"
"SC","82333","Palhoça","Palhoça (SC)"
"SC","82376","Palmitos","Palmitos (SC)"
"SC","82511","Balneário Piçarras","Balneário Piçarras (SC)"
"SC","82570","Piratuba","Piratuba (SC)"
"SC","82597","Pomerode","Pomerode (SC)"
"SC","82635","Ponte Serrada","Ponte Serrada (SC)"
"SC","82678","Porto União","Porto União (SC)"
"SC","82694","Pouso Redondo","Pouso Redondo (SC)"
"SC","82716","Praia Grande","Praia Grande (SC)"
"SC","82732","Presidente Castelo Branco","Presidente Castelo Branco (SC)"
"SC","82759","Presidente Getúlio","Presidente Getúlio (SC)"
"SC","82791","Quilombo","Quilombo (SC)"
"SC","82830","Rio Das Antas","Rio Das Antas (SC)"
"SC","82856","Rio Do Campo","Rio Do Campo (SC)"
"SC","82872","Rio Do Oeste","Rio Do Oeste (SC)"
"SC","82910","Rio Do Sul","Rio Do Sul (SC)"
"SC","82953","Rio Negrinho","Rio Negrinho (SC)"
"SC","83054","Santa Cecília","Santa Cecília (SC)"
"SC","83097","Santo Amaro Da Imperatriz","Santo Amaro Da Imperatriz (SC)"
"SC","83119","São Bento Do Sul","São Bento Do Sul (SC)"
"SC","83151","São Carlos","São Carlos (SC)"
"SC","83178","São Domingos","São Domingos (SC)"
"SC","83194","São Francisco Do Sul","São Francisco Do Sul (SC)"
"SC","83216","São João Batista","São João Batista (SC)"
"SC","83232","São João Do Sul","São João Do Sul (SC)"
"SC","83275","São José","São José (SC)"
"SC","83291","São José Do Cedro","São José Do Cedro (SC)"
"SC","83330","São Lourenço Do Oeste","São Lourenço Do Oeste (SC)"
"SC","83399","São Miguel Do Oeste","São Miguel Do Oeste (SC)"
"SC","83410","Saudades","Saudades (SC)"
"SC","83470","Siderópolis","Siderópolis (SC)"
"SC","83496","Sombrio","Sombrio (SC)"
"SC","83518","Taió","Taió (SC)"
"SC","83534","Tangará","Tangará (SC)"
"SC","83550","Tijucas","Tijucas (SC)"
"SC","83593","Três Barras","Três Barras (SC)"
"SC","83631","Treze Tílias","Treze Tílias (SC)"
"SC","83674","Tubarão","Tubarão (SC)"
"SC","83739","Urussanga","Urussanga (SC)"
"SC","83755","Vargeão","Vargeão (SC)"
"SC","83798","Videira","Videira (SC)"
"SC","83836","Xanxerê","Xanxerê (SC)"
"SC","83852","Xavantina","Xavantina (SC)"
"SC","83879","Xaxim","Xaxim (SC)"
"SC","83909","Balneário Rincão","Balneário Rincão (SC)"
"SC","83917","Maracajá","Maracajá (SC)"
"SC","83976","Otacílio Costa","Otacílio Costa (SC)"
"SE","31011","Amparo De São Francisco","Amparo De São Francisco (SE)"
"SE","31038","Aquidabã","Aquidabã (SE)"
"SE","31054","Aracaju","Aracaju (SE)"
"SE","31070","Arauá","Arauá (SE)"
"SE","31097","Areia Branca","Areia Branca (SE)"
"SE","31119","Barra Dos Coqueiros","Barra Dos Coqueiros (SE)"
"SE","31135","Brejo Grande","Brejo Grande (SE)"
"SE","31151","Boquim","Boquim (SE)"
"SE","31194","Campo Do Brito","Campo Do Brito (SE)"
"SE","31216","Canhoba","Canhoba (SE)"
"SE","31232","Canindé De São Francisco","Canindé De São Francisco (SE)"
"SE","31259","Capela","Capela (SE)"
"SE","31275","Carira","Carira (SE)"
"SE","31291","Carmópolis","Carmópolis (SE)"
"SE","31313","Cedro De São João","Cedro De São João (SE)"
"SE","31330","Cristinápolis","Cristinápolis (SE)"
"SE","31356","Nossa Senhora Aparecida","Nossa Senhora Aparecida (SE)"
"SE","31399","Divina Pastora","Divina Pastora (SE)"
"SE","31410","Estância","Estância (SE)"
"SE","31437","Feira Nova","Feira Nova (SE)"
"SE","31453","Frei Paulo","Frei Paulo (SE)"
"SE","31470","General Maynard","General Maynard (SE)"
"SE","31496","Gararu","Gararu (SE)"
"SE","31534","Ilha Das Flores","Ilha Das Flores (SE)"
"SE","31550","Indiaroba","Indiaroba (SE)"
"SE","31577","Itabaiana","Itabaiana (SE)"
"SE","31593","Itabaianinha","Itabaianinha (SE)"
"SE","31615","Itabi","Itabi (SE)"
"SE","31631","Itaporanga D Ajuda","Itaporanga D Ajuda (SE)"
"SE","31658","Japaratuba","Japaratuba (SE)"
"SE","31674","Japoatã","Japoatã (SE)"
"SE","31690","Lagarto","Lagarto (SE)"
"SE","31712","Laranjeiras","Laranjeiras (SE)"
"SE","31798","Maruim","Maruim (SE)"
"SE","31810","Moita Bonita","Moita Bonita (SE)"
"SE","31836","Monte Alegre De Sergipe","Monte Alegre De Sergipe (SE)"
"SE","31852","Muribeca","Muribeca (SE)"
"SE","31895","Nossa Senhora Da Glória","Nossa Senhora Da Glória (SE)"
"SE","31917","Nossa Senhora Das Dores","Nossa Senhora Das Dores (SE)"
"SE","31933","Nossa Senhora De Lourdes","Nossa Senhora De Lourdes (SE)"
"SE","31950","Nossa Senhora Do Socorro","Nossa Senhora Do Socorro (SE)"
"SE","31976","Pacatuba","Pacatuba (SE)"
"SE","32018","Pedrinhas","Pedrinhas (SE)"
"SE","32034","Pinhão","Pinhão (SE)"
"SE","32050","Pirambu","Pirambu (SE)"
"SE","32077","Poço Redondo","Poço Redondo (SE)"
"SE","32093","Poço Verde","Poço Verde (SE)"
"SE","32115","Porto Da Folha","Porto Da Folha (SE)"
"SE","32131","Propriá","Propriá (SE)"
"SE","32174","Riachuelo","Riachuelo (SE)"
"SE","32190","Ribeirópolis","Ribeirópolis (SE)"
"SE","32212","Rosário Do Catete","Rosário Do Catete (SE)"
"SE","32239","Salgado","Salgado (SE)"
"SE","32298","Santa Rosa De Lima","Santa Rosa De Lima (SE)"
"SE","32336","São Cristóvão","São Cristóvão (SE)"
"SE","32352","São Domingos","São Domingos (SE)"
"SE","32395","São Miguel Do Aleixo","São Miguel Do Aleixo (SE)"
"SE","32417","Simão Dias","Simão Dias (SE)"
"SE","32433","Siriri","Siriri (SE)"
"SE","32476","Tobias Barreto","Tobias Barreto (SE)"
"SP","61018","Adamantina","Adamantina (SP)"
"SP","61034","Adolfo","Adolfo (SP)"
"SP","61042","Tarumã","Tarumã (SP)"
"SP","61123","Dirce Reis","Dirce Reis (SP)"
"SP","61174","Altair","Altair (SP)"
"SP","61182","Embaúba","Embaúba (SP)"
"SP","61239","Álvares Florence","Álvares Florence (SP)"
"SP","61263","Araçariguama","Araçariguama (SP)"
"SP","61280","Bertioga","Bertioga (SP)"
"SP","61301","Suzanápolis","Suzanápolis (SP)"
"SP","61310","Americana","Americana (SP)"
"SP","61352","Américo De Campos","Américo De Campos (SP)"
"SP","61379","Amparo","Amparo (SP)"
"SP","61409","Novais","Novais (SP)"
"SP","61417","Andradina","Andradina (SP)"
"SP","61425","Nova Canaã Paulista","Nova Canaã Paulista (SP)"
"SP","61468","Ubarana","Ubarana (SP)"
"SP","61506","Campina Do Monte Alegre","Campina Do Monte Alegre (SP)"
"SP","61514","Aparecida D Oeste","Aparecida D Oeste (SP)"
"SP","61522","Aspásia","Aspásia (SP)"
"SP","61557","Araçatuba","Araçatuba (SP)"
"SP","61573","Araçoiaba Da Serra","Araçoiaba Da Serra (SP)"
"SP","61590","Aramina","Aramina (SP)"
"SP","61638","Araraquara","Araraquara (SP)"
"SP","61654","Araras","Araras (SP)"
"SP","61719","Areiópolis","Areiópolis (SP)"
"SP","61727","Hortolândia","Hortolândia (SP)"
"SP","61735","Ariranha","Ariranha (SP)"
"SP","61760","Elisiário","Elisiário (SP)"
"SP","61778","Arujá","Arujá (SP)"
"SP","61808","Pontalinda","Pontalinda (SP)"
"SP","61824","Parisi","Parisi (SP)"
"SP","61867","Marapoama","Marapoama (SP)"
"SP","61883","São João De Iracema","São João De Iracema (SP)"
"SP","61891","Avaré","Avaré (SP)"
"SP","61913","Bady Bassitt","Bady Bassitt (SP)"
"SP","61921","Zacarias","Zacarias (SP)"
"SP","61956","Bálsamo","Bálsamo (SP)"
"SP","61964","Mesópolis","Mesópolis (SP)"
"SP","61980","Nova Campina","Nova Campina (SP)"
"SP","61999","Barbosa","Barbosa (SP)"
"SP","62006","Ilha Comprida","Ilha Comprida (SP)"
"SP","62022","Lourdes","Lourdes (SP)"
"SP","62090","Barretos","Barretos (SP)"
"SP","62138","Barueri","Barueri (SP)"
"SP","62146","Pratânia","Pratânia (SP)"
"SP","62154","Bastos","Bastos (SP)"
"SP","62197","Bauru","Bauru (SP)"
"SP","62200","Santa Salete","Santa Salete (SP)"
"SP","62219","Bebedouro","Bebedouro (SP)"
"SP","62227","Vitória Brasil","Vitória Brasil (SP)"
"SP","62243","Ipiguá","Ipiguá (SP)"
"SP","62251","Bernardino De Campos","Bernardino De Campos (SP)"
"SP","62294","Birigui","Birigui (SP)"
"SP","62316","Biritiba Mirim","Biritiba Mirim (SP)"
"SP","62324","Jumirim","Jumirim (SP)"
"SP","62383","Ouroeste","Ouroeste (SP)"
"SP","62391","Boituva","Boituva (SP)"
"SP","62413","Bom Jesus Dos Perdões","Bom Jesus Dos Perdões (SP)"
"SP","62421","Ribeirão Dos Índios","Ribeirão Dos Índios (SP)"
"SP","62570","Brodowski","Brodowski (SP)"
"SP","62634","Buritama","Buritama (SP)"
"SP","62650","Buritizal","Buritizal (SP)"
"SP","62693","Cabreúva","Cabreúva (SP)"
"SP","62812","Caieiras","Caieiras (SP)"
"SP","62839","Caiuá","Caiuá (SP)"
"SP","62855","Cajamar","Cajamar (SP)"
"SP","62871","Cajobi","Cajobi (SP)"
"SP","62910","Campinas","Campinas (SP)"
"SP","62936","Campo Limpo Paulista","Campo Limpo Paulista (SP)"
"SP","62979","Campos Novos Paulista","Campos Novos Paulista (SP)"
"SP","63010","Cândido Mota","Cândido Mota (SP)"
"SP","63070","Capela Do Alto","Capela Do Alto (SP)"
"SP","63096","Capivari","Capivari (SP)"
"SP","63118","Caraguatatuba","Caraguatatuba (SP)"
"SP","63150","Cardoso","Cardoso (SP)"
"SP","63215","Castilho","Castilho (SP)"
"SP","63231","Catanduva","Catanduva (SP)"
"SP","63258","Catiguá","Catiguá (SP)"
"SP","63274","Cedral","Cedral (SP)"
"SP","63290","Cerqueira César","Cerqueira César (SP)"
"SP","63410","Colina","Colina (SP)"
"SP","63436","Colômbia","Colômbia (SP)"
"SP","63533","Coronel Macedo","Coronel Macedo (SP)"
"SP","63576","Cosmópolis","Cosmópolis (SP)"
"SP","63592","Cosmorama","Cosmorama (SP)"
"SP","63614","Cotia","Cotia (SP)"
"SP","63657","Cristais Paulista","Cristais Paulista (SP)"
"SP","63711","Cubatão","Cubatão (SP)"
"SP","63770","Diadema","Diadema (SP)"
"SP","63851","Dolcinópolis","Dolcinópolis (SP)"
"SP","63894","Dracena","Dracena (SP)"
"SP","64050","Estrela D Oeste","Estrela D Oeste (SP)"
"SP","64114","Fernandópolis","Fernandópolis (SP)"
"SP","64130","Fernando Prestes","Fernando Prestes (SP)"
"SP","64157","Ferraz De Vasconcelos","Ferraz De Vasconcelos (SP)"
"SP","64173","Flora Rica","Flora Rica (SP)"
"SP","64190","Floreal","Floreal (SP)"
"SP","64211","Flórida Paulista","Flórida Paulista (SP)"
"SP","64238","Florínea","Florínea (SP)"
"SP","64254","Franca","Franca (SP)"
"SP","64270","Francisco Morato","Francisco Morato (SP)"
"SP","64297","Franco Da Rocha","Franco Da Rocha (SP)"
"SP","64394","General Salgado","General Salgado (SP)"
"SP","64513","Guapiaçu","Guapiaçu (SP)"
"SP","64556","Guará","Guará (SP)"
"SP","64599","Guaraci","Guaraci (SP)"
"SP","64610","Guarani D Oeste","Guarani D Oeste (SP)"
"SP","64637","Guarantã","Guarantã (SP)"
"SP","64653","Guararapes","Guararapes (SP)"
"SP","64670","Guararema","Guararema (SP)"
"SP","64734","Guariba","Guariba (SP)"
"SP","64750","Guarujá","Guarujá (SP)"
"SP","64777","Guarulhos","Guarulhos (SP)"
"SP","64890","Ibirá","Ibirá (SP)"
"SP","64912","Ibirarema","Ibirarema (SP)"
"SP","64971","Icém","Icém (SP)"
"SP","65056","Igaratá","Igaratá (SP)"
"SP","65099","Ilhabela","Ilhabela (SP)"
"SP","65110","Indaiatuba","Indaiatuba (SP)"
"SP","65153","Indiaporã","Indiaporã (SP)"
"SP","65196","Ipaussu","Ipaussu (SP)"
"SP","65277","Ipuã","Ipuã (SP)"
"SP","65315","Irapuã","Irapuã (SP)"
"SP","65374","Itaí","Itaí (SP)"
"SP","65390","Itajobi","Itajobi (SP)"
"SP","65439","Itanhaém","Itanhaém (SP)"
"SP","65510","Itapevi","Itapevi (SP)"
"SP","65579","Itaporanga","Itaporanga (SP)"
"SP","65633","Itaquaquecetuba","Itaquaquecetuba (SP)"
"SP","65650","Itararé","Itararé (SP)"
"SP","65676","Itariri","Itariri (SP)"
"SP","65692","Itatiba","Itatiba (SP)"
"SP","65757","Itirapuã","Itirapuã (SP)"
"SP","65773","Itobi","Itobi (SP)"
"SP","65790","Itu","Itu (SP)"
"SP","65811","Itupeva","Itupeva (SP)"
"SP","65838","Ituverava","Ituverava (SP)"
"SP","65854","Jaborandi","Jaborandi (SP)"
"SP","65897","Jacareí","Jacareí (SP)"
"SP","65919","Jaci","Jaci (SP)"
"SP","65951","Jaguariúna","Jaguariúna (SP)"
"SP","65978","Jales","Jales (SP)"
"SP","66010","Jandira","Jandira (SP)"
"SP","66052","Jarinu","Jarinu (SP)"
"SP","66095","Jeriquara","Jeriquara (SP)"
"SP","66150","José Bonifácio","José Bonifácio (SP)"
"SP","66192","Jundiaí","Jundiaí (SP)"
"SP","66214","Junqueirópolis","Junqueirópolis (SP)"
"SP","66257","Juquitiba","Juquitiba (SP)"
"SP","66290","Laranjal Paulista","Laranjal Paulista (SP)"
"SP","66311","Lavínia","Lavínia (SP)"
"SP","66338","Lavrinhas","Lavrinhas (SP)"
"SP","66354","Leme","Leme (SP)"
"SP","66397","Limeira","Limeira (SP)"
"SP","66435","Lins","Lins (SP)"
"SP","66451","Lorena","Lorena (SP)"
"SP","66478","Louveira","Louveira (SP)"
"SP","66494","Lucélia","Lucélia (SP)"
"SP","66532","Luís Antônio","Luís Antônio (SP)"
"SP","66630","Macaubal","Macaubal (SP)"
"SP","66656","Macedônia","Macedônia (SP)"
"SP","66672","Magda","Magda (SP)"
"SP","66710","Mairiporã","Mairiporã (SP)"
"SP","66770","Maracaí","Maracaí (SP)"
"SP","66796","Mariápolis","Mariápolis (SP)"
"SP","66818","Marília","Marília (SP)"
"SP","66834","Marinópolis","Marinópolis (SP)"
"SP","66893","Mauá","Mauá (SP)"
"SP","66915","Mendonça","Mendonça (SP)"
"SP","66931","Meridiano","Meridiano (SP)"
"SP","66958","Miguelópolis","Miguelópolis (SP)"
"SP","66990","Miracatu","Miracatu (SP)"
"SP","67016","Mira Estrela","Mira Estrela (SP)"
"SP","67075","Mirassol","Mirassol (SP)"
"SP","67091","Mirassolândia","Mirassolândia (SP)"
"SP","67130","Mogi Das Cruzes","Mogi Das Cruzes (SP)"
"SP","67156","Mogi Guaçu","Mogi Guaçu (SP)"
"SP","67172","Mogi Mirim","Mogi Mirim (SP)"
"SP","67237","Mongaguá","Mongaguá (SP)"
"SP","67296","Monte Aprazível","Monte Aprazível (SP)"
"SP","67318","Monte Azul Paulista","Monte Azul Paulista (SP)"
"SP","67377","Monte Mor","Monte Mor (SP)"
"SP","67393","Morro Agudo","Morro Agudo (SP)"
"SP","67512","Neves Paulista","Neves Paulista (SP)"
"SP","67539","Nhandeara","Nhandeara (SP)"
"SP","67555","Nipoã","Nipoã (SP)"
"SP","67571","Nova Aliança","Nova Aliança (SP)"
"SP","67610","Nova Granada","Nova Granada (SP)"
"SP","67717","Novo Horizonte","Novo Horizonte (SP)"
"SP","67733","Nuporanga","Nuporanga (SP)"
"SP","67792","Olímpia","Olímpia (SP)"
"SP","67814","Onda Verde","Onda Verde (SP)"
"SP","67830","Oriente","Oriente (SP)"
"SP","67857","Orindiúva","Orindiúva (SP)"
"SP","67873","Orlândia","Orlândia (SP)"
"SP","67890","Osasco","Osasco (SP)"
"SP","67938","Osvaldo Cruz","Osvaldo Cruz (SP)"
"SP","67954","Ourinhos","Ourinhos (SP)"
"SP","68012","Palestina","Palestina (SP)"
"SP","68039","Palmares Paulista","Palmares Paulista (SP)"
"SP","68055","Palmeira D Oeste","Palmeira D Oeste (SP)"
"SP","68098","Panorama","Panorama (SP)"
"SP","68110","Paraguaçu Paulista","Paraguaçu Paulista (SP)"
"SP","68136","Paraibuna","Paraibuna (SP)"
"SP","68152","Paraíso","Paraíso (SP)"
"SP","68179","Paranapanema","Paranapanema (SP)"
"SP","68195","Paranapuã","Paranapuã (SP)"
"SP","68276","Patrocínio Paulista","Patrocínio Paulista (SP)"
"SP","68292","Paulicéia","Paulicéia (SP)"
"SP","68314","Paulínia","Paulínia (SP)"
"SP","68330","Paulo De Faria","Paulo De Faria (SP)"
"SP","68390","Pedranópolis","Pedranópolis (SP)"
"SP","68411","Pedregulho","Pedregulho (SP)"
"SP","68470","Penápolis","Penápolis (SP)"
"SP","68535","Peruíbe","Peruíbe (SP)"
"SP","68616","Pindamonhangaba","Pindamonhangaba (SP)"
"SP","68632","Pindorama","Pindorama (SP)"
"SP","68756","Piracicaba","Piracicaba (SP)"
"SP","68810","Pirangi","Pirangi (SP)"
"SP","68837","Pirapora Do Bom Jesus","Pirapora Do Bom Jesus (SP)"
"SP","68870","Pirassununga","Pirassununga (SP)"
"SP","68934","Planalto","Planalto (SP)"
"SP","68977","Poá","Poá (SP)"
"SP","68993","Poloni","Poloni (SP)"
"SP","69019","Pompéia","Pompéia (SP)"
"SP","69051","Pontal","Pontal (SP)"
"SP","69078","Pontes Gestal","Pontes Gestal (SP)"
"SP","69094","Populina","Populina (SP)"
"SP","69175","Potirendaba","Potirendaba (SP)"
"SP","69213","Praia Grande","Praia Grande (SP)"
"SP","69299","Presidente Prudente","Presidente Prudente (SP)"
"SP","69310","Presidente Venceslau","Presidente Venceslau (SP)"
"SP","69337","Promissão","Promissão (SP)"
"SP","69418","Quintana","Quintana (SP)"
"SP","69450","Rancharia","Rancharia (SP)"
"SP","69639","Ribeirão Corrente","Ribeirão Corrente (SP)"
"SP","69671","Ribeirão Pires","Ribeirão Pires (SP)"
"SP","69698","Ribeirão Preto","Ribeirão Preto (SP)"
"SP","69795","Rio Claro","Rio Claro (SP)"
"SP","69833","Rio Grande Da Serra","Rio Grande Da Serra (SP)"
"SP","69850","Riolândia","Riolândia (SP)"
"SP","69914","Rubinéia","Rubinéia (SP)"
"SP","69973","Sales","Sales (SP)"
"SP","69990","Sales Oliveira","Sales Oliveira (SP)"
"SP","70130","Santa Adélia","Santa Adélia (SP)"
